PTTT  | TT Ke | k(u,v) | g(u)  | h(u)  | f(u)  | L1         | L    
A     | C     | 9      | 15    | 9     | 24    | D-13,E-21, |D-13,E-21,C-24,F-27
      | D     | 7      | 6     | 7     | 13    | C-24,F-27  |
      | E     | 13     | 8     | 13    | 21    |            |
      | F     | 20     | 7     | 20    | 27    |            |
D     | H     | 8      | 10    | 15    | 25    | E-19,H-25  |E-19,H-25,E-21,C-24,
      | E     | 4      | 8     | 11    | 19    |            |F-27
E     | K     | 4      | 2     | 15    | 17    | K-17,I-18  |K-17,I-18,H-25,E-21,
      | I     | 3      | 4     | 14    | 18    |            |C-24,F-27
K     | B     | 6      | 0     | 21    | 21    | B-21       |B-21,I-18,H-25,E-21,
      |       |        |       |       |       |            |C-24,F-27
I     | K     | 9      | 2     | 23    | 25    | B-19,K-25  |B-19,K-25,H-25,E-21,
      | B     | 5      | 0     | 19    | 19    |            |C-24,F-27
K     | B     | 6      | 0     | 29    | 29    | B-29       |B-29,H-25,E-21,C-24,
      |       |        |       |       |       |            |F-27
H     | K     | 5      | 2     | 20    | 22    | K-22       |K-22,E-21,C-24,F-27
K     | B     | 6      | 0     | 26    | 26    | B-26       |B-26,E-21,C-24,F-27
E     | K     | 4      | 2     | 17    | 19    | K-19,I-20  |K-19,I-20,C-24,F-27
      | I     | 3      | 4     | 16    | 20    |            |
K     | B     | 6      | 0     | 23    | 23    | B-23       |B-23,I-20,C-24,F-27
I     | K     | 9      | 2     | 25    | 27    | B-21,K-27  |B-21,K-27,C-24,F-27
      | B     | 5      | 0     | 21    | 21    |            |
K     | B     | 6      | 0     | 31    | 31    | B-31       |B-31,C-24,F-27
C     | H     | 6      | 10    | 15    | 25    | H-25       |H-25,F-27
H     | K     | 5      | 2     | 20    | 22    | K-22       |K-22,F-27
K     | B     | 6      | 0     | 26    | 26    | B-26       |B-26,F-27
F     | TTKT, tìm được đường đi tạm thời, độ dài 27         |
A->F với độ dài là: 27
